Site Code,Faunal mid-depth,MDS code old,MDS code,Bassina disjecta,Bittium granarium,Biv APA,Biv CV,Biv FD,Biv FE,Biv FF,Biv FH,Callista (Notocallista) diemenensis,Cardita sp?,Chemnitzia mariae,Clanculus philippi,Corbula (Varicorbula) gibba,Cuspidaria brazieri  (check),Cystiscus angasi,Diala suturalis,Dolicrossea labiata,Dosinia caerulea,Dosinia crocea (check),Dosinia victoriae,Electroma (Electroma) georgiana,Equichlamys bifrons,Ethminolia mayi,Fulvia tenuicostata,Gast EJ,Gast EK,Gazameda gunnii,Guraleus alucinans,Hemitoma subemarginata,Hiatella australis,Katelysia scalarina,Lasaea australis,Leionucula obliqua,Limpet D,Maoricolpus roseus,Melliteryx acupuncta,Mimachlamys asperrima,Musculus sp_,Myadora brevis,Mysella donaciformis,Nassarius nigellus,Nemocardium (Pratulum) thetidis,Nozeba topaziaca,Nucula sp A,Nuculana (Propeleda) ensicula,Ostrea angasi,Pecten fumatus,Philine sp or retusa sp?,Pisinna frenchiensis,Placamen placidum,Retusa sp_,Spisula (Notospisula) trigonella,Tatea rufilabris,Tellina (Macomona) margaratina,Theora lubrica,Theora fragilis,Thyasira adelaideana,Timoclea (Chioneryx) cardioides,Venericardia bimaculata,Venerupis (Venerupis) anomala,Zafra atkinsoni
IPHC-33,12.5,33_26,33.2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
IPHC-33,22.5,33_46,33.3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
IPHC-33,32.5,33_59,33.4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
IPHC-33,42.5,33_67,33.5,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,7,25,0,0,0,0,5,0,0,0,0,0,0,1,0,13,0,0,0,0,0
IPHC-33,52.5,33_76,33.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0
IPHC-33,62.5,33_>76-1,33.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,16,1,0,0,0,1,1,0,0,0,0,1,0,0,5,0,0,0,0,0
IPHC-33,72.5,33_>76-2,33.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,16,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
IPHC-33,82.5,33_>76-3,33.9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,10,22,0,0,0,1,1,0,0,0,0,0,0,1,0,12,2,1,0,0,0
IPHC-33,92.5,33_>76-4,33.10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,37,0,1,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0
IPHC-33,102.5,33_>76-5,33.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,35,0,0,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0
