Species_code
Austromitra
Clathurellidae
IPX26
Litiidae_MGT
MDX62
MGA7
MGA8
MGC9
MGT15
MGT16
MGT17
MGX30
MGX31
MGX80
MPL8
MPO7
MPO8
MPT9
MPV19
MPV20
MPX63
MPX64
MPX65
MPX66
MPX67
MPX68
MXX2
MXX3
Mytrilidae
Puranidellidae
Pyramidellidae
